# ---------------------------------- WARNING ----------------------------------------
# Provisional data are subject to revision. Go to
# http://waterdata.usgs.gov/nwis/help/?provisional for more information.
#
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2012-07-16 17:32:33 EDT	(caas01)
#
# Data for the following 9 site(s) are contained in this file
#    USGS 430406089232901 DN-07/09E/23-1297
#    USGS 430427089284901 DN-07/09E/19-0064
#    USGS 430642089395301 DN-07/07E/04-6021
#    USGS 430658089385701 DN-07/07E/03-6023
#    USGS 430658089385901 DN-07/07E/03-6024
#    USGS 430659089385801 DN-07/07E/03-6022
#    USGS 430718089291501 DN-08/08E/36-1440
#    USGS 431233089103201 DN-09/11E/34-1355
#    USGS 431312089475301 DN-09/06E/29-0083
# -----------------------------------------------------------------------------------
#
# Data provided for site 430406089232901
#    DD parameter statistic   Description
#    01   72019     00001     Depth to water level, feet below land surface (Maximum)
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	01_72019_00001	01_72019_00001_cd
5s	15s	20d	14n	10s
USGS	430406089232901	2010-12-03	15.04	P
USGS	430406089232901	2010-12-04	14.92	P
USGS	430406089232901	2010-12-05	14.86	P
USGS	430406089232901	2010-12-06	14.62	P
USGS	430406089232901	2010-12-07	14.78	P
USGS	430406089232901	2010-12-08	14.90	P
USGS	430406089232901	2010-12-09	14.73	P
USGS	430406089232901	2010-12-10	14.96	P
USGS	430406089232901	2010-12-11	15.08	P
USGS	430406089232901	2010-12-12	14.68	P
USGS	430406089232901	2010-12-13	14.54	P
USGS	430406089232901	2010-12-14	14.63	P
USGS	430406089232901	2010-12-15	14.48	P
USGS	430406089232901	2010-12-16	14.62	P
USGS	430406089232901	2010-12-17	14.79	P
USGS	430406089232901	2010-12-18	14.77	P
USGS	430406089232901	2010-12-19	14.88	P
USGS	430406089232901	2010-12-20	14.92	P
USGS	430406089232901	2010-12-21	15.12	P
USGS	430406089232901	2010-12-22	15.34	P
USGS	430406089232901	2010-12-23	15.22	P
USGS	430406089232901	2010-12-24	15.25	P
USGS	430406089232901	2010-12-25	15.13	P
USGS	430406089232901	2010-12-26	15.06	P
USGS	430406089232901	2010-12-27	14.97	P
USGS	430406089232901	2010-12-28	15.06	P
USGS	430406089232901	2010-12-29	15.19	P
USGS	430406089232901	2010-12-30	15.43	P
USGS	430406089232901	2010-12-31	15.53	P
USGS	430406089232901	2011-01-01	15.16	P
USGS	430406089232901	2011-01-02	14.90	P
USGS	430406089232901	2011-01-03	15.02	P
USGS	430406089232901	2011-01-04	14.84	P
USGS	430406089232901	2011-01-05	14.79	P
USGS	430406089232901	2011-01-06	14.72	P
USGS	430406089232901	2011-01-07	14.51	P
USGS	430406089232901	2011-01-08	14.86	P
USGS	430406089232901	2011-01-09	15.24	P
USGS	430406089232901	2011-01-10	15.28	P
USGS	430406089232901	2011-01-11	15.20	P
USGS	430406089232901	2011-01-12	15.35	P
USGS	430406089232901	2011-01-13	15.36	P
USGS	430406089232901	2011-01-14	15.35	P
USGS	430406089232901	2011-01-15	15.19	P
USGS	430406089232901	2011-01-16	15.09	P
USGS	430406089232901	2011-01-17	15.24	P
USGS	430406089232901	2011-01-18	15.25	P
USGS	430406089232901	2011-01-19	15.18	P
USGS	430406089232901	2011-01-20	14.99	P
USGS	430406089232901	2011-01-21	14.93	P
USGS	430406089232901	2011-01-22	15.04	P
USGS	430406089232901	2011-01-23	15.53	P
USGS	430406089232901	2011-01-24	15.39	P
USGS	430406089232901	2011-01-25	15.65	P
USGS	430406089232901	2011-01-26	15.53	P
USGS	430406089232901	2011-01-27	15.22	P
USGS	430406089232901	2011-01-28	15.52	P
USGS	430406089232901	2011-01-29	15.68	P
USGS	430406089232901	2011-01-30	16.01	P
USGS	430406089232901	2011-01-31	15.14	P
USGS	430406089232901	2011-02-01	14.96	P
USGS	430406089232901	2011-02-02	15.09	P
USGS	430406089232901	2011-02-03	15.28	P
USGS	430406089232901	2011-02-04	15.65	P
USGS	430406089232901	2011-02-05	15.53	P
USGS	430406089232901	2011-02-06	15.48	P
USGS	430406089232901	2011-02-07	15.40	P
USGS	430406089232901	2011-02-08	15.36	P
USGS	430406089232901	2011-02-09	15.32	P
USGS	430406089232901	2011-02-10	15.25	P
USGS	430406089232901	2011-02-11	15.19	P
USGS	430406089232901	2011-02-12	15.71	P
USGS	430406089232901	2011-02-13	15.90	P
USGS	430406089232901	2011-02-14	16.15	P
USGS	430406089232901	2011-02-15	15.93	P
USGS	430406089232901	2011-02-16	15.91	P
USGS	430406089232901	2011-02-17	15.71	P
USGS	430406089232901	2011-02-18	15.83	P
USGS	430406089232901	2011-02-19	15.81	P
USGS	430406089232901	2011-02-20	14.90	P
USGS	430406089232901	2011-02-21	14.75	P
USGS	430406089232901	2011-02-22	15.32	P
USGS	430406089232901	2011-02-23	14.97	P
USGS	430406089232901	2011-02-24	15.15	P
USGS	430406089232901	2011-02-25	15.50	P
USGS	430406089232901	2011-02-26	14.73	P
USGS	430406089232901	2011-02-27	15.09	P
USGS	430406089232901	2011-02-28	15.55	P
USGS	430406089232901	2011-03-01	15.45	P
USGS	430406089232901	2011-03-02	15.43	P
USGS	430406089232901	2011-03-03	15.23	P
USGS	430406089232901	2011-03-04	15.27	P
USGS	430406089232901	2011-03-05	14.88	P
USGS	430406089232901	2011-03-06	15.40	P
USGS	430406089232901	2011-03-07	15.01	P
USGS	430406089232901	2011-03-08	15.19	P
USGS	430406089232901	2011-03-09	14.70	P
USGS	430406089232901	2011-03-10	15.30	P
USGS	430406089232901	2011-03-11	15.19	P
USGS	430406089232901	2011-03-12	15.19	P
USGS	430406089232901	2011-03-13	15.25	P
USGS	430406089232901	2011-03-14	15.14	P
USGS	430406089232901	2011-03-15	15.03	P
USGS	430406089232901	2011-03-16	14.99	P
USGS	430406089232901	2011-03-17	14.91	P
USGS	430406089232901	2011-03-18	14.96	P
USGS	430406089232901	2011-03-19	14.94	P
USGS	430406089232901	2011-03-20	14.53	P
USGS	430406089232901	2011-03-21	14.62	P
USGS	430406089232901	2011-03-22	14.30	P
USGS	430406089232901	2011-03-23	13.87	P
USGS	430406089232901	2011-03-24	14.42	P
USGS	430406089232901	2011-03-25	14.24	P
USGS	430406089232901	2011-03-26	13.98	P
USGS	430406089232901	2011-03-27	14.34	P
USGS	430406089232901	2011-03-28	14.32	P
USGS	430406089232901	2011-03-29	14.35	P
USGS	430406089232901	2011-03-30	14.31	P
USGS	430406089232901	2011-03-31	14.26	P
USGS	430406089232901	2011-04-01	14.01	P
USGS	430406089232901	2011-04-02	14.44	P
USGS	430406089232901	2011-04-03	14.17	P
USGS	430406089232901	2011-04-04	14.33	P
USGS	430406089232901	2011-04-05	14.39	P
USGS	430406089232901	2011-04-06	14.46	P
USGS	430406089232901	2011-04-07	14.51	P
USGS	430406089232901	2011-04-08	14.48	P
USGS	430406089232901	2011-04-09	14.46	P
USGS	430406089232901	2011-04-10	14.36	P
USGS	430406089232901	2011-04-11	14.51	P
USGS	430406089232901	2011-04-12	14.56	P
USGS	430406089232901	2011-04-13	14.57	P
USGS	430406089232901	2011-04-14	14.56	P
USGS	430406089232901	2011-04-15	14.37	P
USGS	430406089232901	2011-04-16	14.22	P
