Daily Date,M6888_Rain_inpd,OH515_EPT_mmpd,TA613_AIRT_MIN_C,TA613_AIRT_Max_C
1/1/2001,0,3.51,3.45,17.75
1/2/2001,0,3.15,7.51,20.15
1/3/2001,0,3.33,6.641,18.56
1/4/2001,0.06,3.7,6.724,14.76
1/5/2001,0,3.69,2.515,16.62
1/6/2001,0,3.53,9.46,22.28
1/7/2001,0,3.71,8.12,21.95
1/8/2001,0,3.35,10.78,24.48
1/9/2001,0.01,3.34,7.38,18.24
1/10/2001,0,3.51,3.908,18.69
1/11/2001,0,3.34,9.84,22.02
1/12/2001,0,2.42,11.92,23.29
1/13/2001,0,2.23,9.71,20.75
1/14/2001,0,2.6,10.78,23.15
1/15/2001,0,2.42,13.51,25.01
1/16/2001,0,3.36,14.11,25.07
1/17/2001,0,2.99,14.71,25.54
1/18/2001,0,3.36,16.7,26.68
1/19/2001,0.01,3.37,18.49,27.35
1/20/2001,0.25,1.31,11.1,25.81
1/21/2001,0,3.52,6.308,16.5
1/22/2001,0.1,0.56,7.91,11.78
1/23/2001,0,3.7,5.517,16.64
1/24/2001,0,3.52,6.976,20.09
1/25/2001,0,3.89,7.78,18.62
1/26/2001,0,2.23,7.38,20.5
1/27/2001,0,2.41,9.64,21.75
1/28/2001,0,2.6,10.71,22.82
1/29/2001,0,2.42,13.91,24.02
1/30/2001,0,2.24,16.57,26.54
1/31/2001,0,2.81,17.17,28.53
2/1/2001,0.01,2.62,18.17,28.66
2/2/2001,0,2.62,18.56,27.86
2/3/2001,0,2.62,16.84,27.66
2/4/2001,0,2.62,18.02,27.86
2/5/2001,0,2.23,13.98,20.48
2/6/2001,0,2.98,9.91,24.07
2/7/2001,0,3.17,12.9,24.81
2/8/2001,0,3.17,16.57,25.47
2/9/2001,0,3.55,16.77,26.01
2/10/2001,0,3.56,17.96,27.86
2/11/2001,0,3.74,17.5,28.26
2/12/2001,0,3.93,18.49,27.06
2/13/2001,0,4.12,19.29,27.39
2/14/2001,0,3.18,18.76,27.4
2/15/2001,0,3.93,18.36,28.39
2/16/2001,0,2.99,18.83,27.73
2/17/2001,0,3.37,19.16,28.19
2/18/2001,0,2.61,17.89,24.94
2/19/2001,0,3.36,17.15,24.07
2/20/2001,0,3.18,17.1,26.14
2/21/2001,0,4.3,16.57,26.52
2/22/2001,0,4.11,15.23,27.99
2/23/2001,0,3.74,17.31,28.52
2/24/2001,0,3.74,18.42,27.39
2/25/2001,0,4.49,19.03,28.39
2/26/2001,0,4.31,18.16,29.37
2/27/2001,0,4.49,19.9,29.24
2/28/2001,0,3.56,19.63,28.26
3/1/2001,0,4.86,17.64,28.19
3/2/2001,0,4.3,17.84,28.66
3/3/2001,0,4.5,19.76,28.59
3/4/2001,0.88,4.12,18.62,28.39
3/5/2001,0.01,3.54,13.24,21.48
3/6/2001,0,5.2,10.85,21.15
3/7/2001,0,5.2,9.38,21.15
3/8/2001,0,5.2,8.25,23.27
3/9/2001,0,5.03,10.58,25.34
3/10/2001,0.07,2.99,16.97,26.6
3/11/2001,0,4.49,15.03,29.71
3/12/2001,0,3.93,18.83,28.93
3/13/2001,0,4.87,21.68,29.46
3/14/2001,0,4.12,20.89,30.44
3/15/2001,0,3.75,20.63,29.38
3/16/2001,0,3.75,21.88,29.66
3/17/2001,0.14,3.75,20.68,30.11
3/18/2001,1.36,2.81,20.55,27.86
3/19/2001,1.31,3.18,19.83,28.66
3/20/2001,0,4.86,16.57,25.21
3/21/2001,0,4.1,15.24,21.55
3/22/2001,0,5.58,13.04,22.8
3/23/2001,0,5.59,11.11,25.92
3/24/2001,0,5.41,15.32,26.59
3/25/2001,0,5.61,16.57,27.92
3/26/2001,0,5.23,14.9,27.79
3/27/2001,0,4.67,16.7,26.72
3/28/2001,0,4.48,14.64,26.74
3/29/2001,2.37,3.75,17.22,28.39
3/30/2001,0.08,2.43,17.22,29.13
3/31/2001,0,4.69,20.96,29.53
4/1/2001,0.03,5.61,16.77,27.46
4/2/2001,0,5.79,13.57,28.19
4/3/2001,0,5.98,16.3,27.93
4/4/2001,0,5.24,17.31,29.57
4/5/2001,0,4.68,18.76,28.53
4/6/2001,0.1,3.55,18.22,25.94
4/7/2001,0,5.24,19.56,28.46
4/8/2001,0,5.62,18.49,28.86
4/9/2001,0,5.8,17.36,28.86
4/10/2001,0,5.62,18.89,29.84
4/11/2001,0,5.81,17.9,29.98
4/12/2001,0,5.63,20.43,30.18
4/13/2001,0,5.07,21.42,31.78
4/14/2001,0,5.44,21.88,32.56
4/15/2001,0,5.63,20.57,30.38
4/16/2001,0,5.62,19.23,30.38
4/17/2001,0,5.24,16.17,30.71
4/18/2001,0,5.4,11.9,22.35
4/19/2001,0,4.84,10.44,23.74
4/20/2001,0,4.48,12.37,25.88
4/21/2001,0,4.67,14.71,27.19
4/22/2001,0,4.49,17.77,28
4/23/2001,0,3.74,17.44,27.66
4/24/2001,0,5.05,16.5,28.59
4/25/2001,0,4.49,16.44,29.77
4/26/2001,0,4.11,17.51,28.33
4/27/2001,0,4.3,16.17,26.61
4/28/2001,0,3.55,16.9,25.74
4/29/2001,0,1.68,18.29,24.81
4/30/2001,0.01,2.43,18.83,25.21
5/1/2001,0.12,3.55,18.42,26.54
5/2/2001,0,3.37,17.51,26.01
5/3/2001,0.93,3.55,16.44,27.21
5/4/2001,0,3.55,18.1,26.74
5/5/2001,0,5.42,16.7,28.39
5/6/2001,0,5.61,16.17,28.33
5/7/2001,0,6.36,14.85,28.26
5/8/2001,0,4.3,16.7,25.67
5/9/2001,0,5.6,15.11,25.81
5/10/2001,0,4.86,14.84,27.46
5/11/2001,0,4.48,15.9,27.21
5/12/2001,0,5.98,13.37,28.39
5/13/2001,0,6.36,13.98,30.51
5/14/2001,0,5.62,16.7,31.18
5/15/2001,0.08,4.3,18.36,29.39
5/16/2001,0,6.18,17.1,30.58
5/17/2001,0,6.37,15.9,32.85
5/18/2001,0,4.12,15.45,32.31
5/19/2001,0,3.37,16.23,32.72
5/20/2001,0,3,18.36,31.65
5/21/2001,0,2.81,19.03,31.45
5/22/2001,0.08,2.63,21.5,31.27
5/23/2001,2.47,2.06,22.02,27.21
5/24/2001,0.01,5.44,21.03,32.18
5/25/2001,0,1.87,20.77,27.99
5/26/2001,0.4,2.81,21.23,29.26
5/27/2001,0.55,2.62,21.1,29.58
5/28/2001,0.02,1.87,20.5,28.19
5/29/2001,0,3.76,21.3,31.31
5/30/2001,0.9,4.51,22.28,32.58
5/31/2001,0.79,3.38,21.95,32.05
6/1/2001,1.54,3.94,20.97,31.38
6/2/2001,0.7,4.12,21.94,30.98
6/3/2001,0.26,3.19,21.84,30.91
6/4/2001,0,4.51,22.15,31.58
6/5/2001,0.06,3,22.95,29.73
6/6/2001,0,4.51,22.75,31.65
6/7/2001,1.63,2.06,22.82,30.19
6/8/2001,0.59,4.32,21.96,30.98
6/9/2001,0,5.45,23.96,32.65
6/10/2001,0,6.21,24.29,33.72
6/11/2001,0,5.65,23.76,33.58
6/12/2001,0,6.21,24.69,34.37
6/13/2001,0.16,4.51,23.29,34.44
6/14/2001,0.05,3.19,21.97,31.78
6/15/2001,0,5.26,23.62,34.17
6/16/2001,0,3.57,22.49,32.58
6/17/2001,0.28,5.25,22.49,33.58
6/18/2001,0.03,2.25,21.84,30.78
6/19/2001,0,3.38,21.37,32.31
6/20/2001,0,4.13,22.35,33.58
6/21/2001,0.62,3.19,21.64,32.11
6/22/2001,0.13,3.56,21.77,30.51
6/23/2001,0.01,3,22.35,30.93
6/24/2001,0,5.82,21.44,32.45
6/25/2001,0.01,4.5,22.37,30.64
6/26/2001,0,4.13,21.9,32.45
6/27/2001,0.02,3.75,22.55,32.11
6/28/2001,0.39,2.44,22.62,28.93
6/29/2001,0,4.89,22.69,32.45
6/30/2001,0,5.83,23.69,32.72
7/1/2001,0,5.26,23.82,32.45
7/2/2001,0.01,5.08,24.16,33.01
7/3/2001,0,4.7,23.22,33.65
7/4/2001,0.57,2.63,21.61,31.51
7/5/2001,0,5.45,21.64,33.38
7/6/2001,0,3.19,24.16,33.18
7/7/2001,0.05,2.81,23.69,31.78
7/8/2001,0.05,3.94,23.02,31.65
7/9/2001,0.3,2.25,22.21,30.32
7/10/2001,0,4.13,22.62,29.46
7/11/2001,0.58,2.44,22.61,28.8
7/12/2001,0,5.07,23.02,31.71
7/13/2001,0.09,4.7,24.63,31.65
7/14/2001,0.93,2.81,22.82,28.93
7/15/2001,1.05,1.69,23.15,29.06
7/16/2001,0,5.64,23.09,31.98
7/17/2001,0.45,3.57,23.76,31.71
7/18/2001,0.01,3.94,23.96,31.98
7/19/2001,0.97,4.13,23.53,31.71
7/20/2001,3.71,4.7,22.22,32.58
7/21/2001,1.07,3.75,23.42,30.39
7/22/2001,0.29,2.81,23.76,27.28
7/23/2001,0.19,0.94,21.37,28.55
7/24/2001,0,6.01,21.44,31.93
7/25/2001,0,4.89,25.36,31.73
7/26/2001,,5.46,24.56,32.72
7/27/2001,,3.76,24.29,32.27
7/28/2001,0,5.65,25.43,33.05
7/29/2001,0.01,3.76,25.9,31.45
7/30/2001,0,5.65,26.03,33.32
7/31/2001,0.08,3.76,26.35,32.72
8/1/2001,1.68,0.94,20.89,26.62
8/2/2001,0.81,1.5,22.41,26.29
8/3/2001,0.21,1.5,23.29,25.43
8/4/2001,0.1,3.94,23.69,30.72
8/5/2001,0.66,3,22.69,30.93
8/6/2001,0,5.08,23.5,32.78
8/7/2001,0,4.14,25.09,32.32
8/8/2001,0,5.84,25.89,32.85
8/9/2001,0,4.89,26.15,32.65
8/10/2001,0,5.65,26.95,32.72
8/11/2001,0,2.82,25.6,31.65
8/12/2001,0.12,4.33,26.35,32.46
8/13/2001,0,3.58,26.82,32.78
8/14/2001,0,4.71,26.89,33.52
8/15/2001,0.64,5.27,25.81,33.92
8/16/2001,0,4.9,27.28,34.19
8/17/2001,0,3.96,27.62,33.98
8/18/2001,0,5.65,27.15,33.45
8/19/2001,0.01,4.14,27.55,32.45
