start_date,waterlevel
1/1/1960,1.022
2/1/1960,1.022
3/1/1960,1.022
4/1/1960,1.022
5/1/1960,1.022
6/1/1960,1.022
7/1/1960,1.022
8/1/1960,1.022
9/1/1960,1.022
10/1/1960,1.022
11/1/1960,1.022
12/1/1960,1.022
1/1/1961,1.022
2/1/1961,1.022
3/1/1961,1.022
4/1/1961,1.022
5/1/1961,1.022
6/1/1961,1.022
7/1/1961,1.022
8/1/1961,1.022
9/1/1961,1.022
10/1/1961,1.022
11/1/1961,1.022
12/1/1961,1.022
1/1/1962,1.022
2/1/1962,1.022
3/1/1962,1.066
4/1/1962,1.015
5/1/1962,0.947
6/1/1962,0.987
7/1/1962,1.024
8/1/1962,1.024
9/1/1962,1.024
10/1/1962,1.024
11/1/1962,1.062
12/1/1962,1.052
1/1/1963,1.045
2/1/1963,1.077
3/1/1963,1.077
4/1/1963,1.077
5/1/1963,1.077
6/1/1963,1.077
7/1/1963,1.077
8/1/1963,1.077
9/1/1963,1.077
10/1/1963,1.077
11/1/1963,1.077
12/1/1963,1.077
1/1/1964,1.077
2/1/1964,1.077
3/1/1964,1.077
4/1/1964,1.077
5/1/1964,1.077
6/1/1964,1.077
7/1/1964,1.077
8/1/1964,1.077
9/1/1964,1.077
10/1/1964,1.077
11/1/1964,1.077
12/1/1964,1.077
1/1/1965,1.077
2/1/1965,1.077
3/1/1965,1.077
4/1/1965,1.077
5/1/1965,1.077
6/1/1965,1.077
7/1/1965,1.077
8/1/1965,1.077
9/1/1965,1.077
10/1/1965,1.077
11/1/1965,1.077
12/1/1965,1.077
1/1/1966,1.077
2/1/1966,1.077
3/1/1966,1.077
4/1/1966,1.077
5/1/1966,1.077
6/1/1966,1.077
7/1/1966,1.077
8/1/1966,1.077
9/1/1966,1.077
10/1/1966,1.077
11/1/1966,1.077
12/1/1966,1.077
1/1/1967,1.077
2/1/1967,1.077
3/1/1967,1.077
4/1/1967,1.077
5/1/1967,1.077
6/1/1967,1.077
7/1/1967,1.077
8/1/1967,1.077
9/1/1967,1.077
