date,tds,
5/30/1972,0.075505054,
5/30/1972,0.059595958,
5/30/1972,0.126767677,
5/30/1972,0.170959596,
5/30/1972,0,
3/14/1974,0.01363636,
4/9/1974,0,
4/23/1974,0,
5/9/1974,0,
10/22/1974,0,
2/19/1975,0,
3/19/1975,0,
4/15/1975,0,
5/5/1975,0,
10/14/1975,0,
1/16/1976,0,
2/17/1976,0,
2/19/1976,0,
3/5/1976,0,
3/17/1976,0,
4/2/1976,0,
4/16/1976,0,
5/7/1976,0,
5/19/1976,0,
6/24/1976,0,
7/30/1976,0,
8/27/1976,0,
9/30/1976,0,
10/14/1976,0,
11/1/1976,0,
11/10/1976,0,
12/14/1976,0,
12/28/1976,0,
1/11/1977,0,
2/8/1977,0,
3/3/1977,0,
4/8/1977,0,
4/25/1977,0,
5/3/1977,0,
5/26/1977,0.01363636,
6/30/1977,0,
7/22/1977,0,
9/2/1977,0,
10/12/1977,0,
11/4/1977,0,
1/12/1978,0,
3/10/1978,0,
4/5/1978,0,
5/5/1978,0,
8/16/1978,0,
10/12/1978,0,
1/17/1979,0,
4/20/1979,0,
5/21/1979,0,
8/9/1979,0,
1/22/1980,0,
3/17/1980,0.020707069,
4/16/1980,0.01363636,
8/11/1980,0.024242423,
10/23/1980,0.024242423,
1/13/1981,0.034848485,
3/21/1981,0.024242423,
4/24/1981,0.020707069,
5/14/1981,0.017171715,
8/26/1981,0,
10/8/1981,0.041919194,
1/12/1982,0.070202027,
2/22/1982,0.059595958,
4/9/1982,0.070202027,
4/30/1982,0.024242423,
5/24/1982,0.052525249,
6/17/1982,0.024242423,
8/26/1982,0.197474748,
10/25/1982,0.222222223,
2/2/1983,0.363636364,
3/22/1983,0,
4/20/1983,0.384848485,
5/24/1983,1.187373739,
9/7/1983,0.515656566,
12/19/1983,0.833838385,
1/26/1984,0.975252527,
3/21/1984,0.904545456,
4/21/1984,1.152020204,
5/25/1984,0.303535354,
8/29/1984,0.842676769,
9/25/1984,1.434848487,
1/24/1985,1.576262628,
3/19/1985,1.646969699,
4/17/1985,1.753030305,
8/20/1985,2.106565659,
11/5/1985,1.965151518,
1/23/1986,2.63686869,
2/25/1986,2.672222226,
3/18/1986,2.884343438,
4/15/1986,2.955050509,
5/22/1986,0.771969698,
8/12/1986,2.424747478,
10/7/1986,3.308585863,
1/29/1987,2.955050509,
3/17/1987,3.096464651,
5/19/1987,3.308585863,
8/17/1987,3.927272733,
10/22/1987,3.927272733,
1/13/1988,4.722727279,
3/25/1988,4.899494956,
4/21/1988,4.634343441,
5/25/1988,5.164646472,
10/19/1988,4.899494956,
2/1/1989,2.530808084,
4/26/1989,5.87171718,
8/25/1989,5.783333341,
10/19/1989,5.429797987,
1/23/1990,5.429797987,
3/12/1990,6.136868695,
3/27/1990,5.960101018,
4/5/1990,6.843939403,
4/25/1990,6.667171726,
5/23/1990,6.843939403,
9/25/1990,8.258080819,
10/17/1990,7.551010111,
11/26/1990,6.843939403,
12/20/1990,7.904545465,
1/29/1991,4.987878795,
2/20/1991,7.904545465,
3/21/1991,7.727777788,
4/19/1991,7.374242434,
5/28/1991,7.904545465,
7/9/1991,8.78838385,
7/31/1991,8.081313142,
9/6/1991,6.843939403,
10/3/1991,8.081313142,
10/24/1991,7.727777788,
12/5/1991,8.965151527,
1/6/1992,6.667171726,
1/29/1992,7.374242434,
2/21/1992,8.965151527,
3/30/1992,8.78838385,
4/22/1992,9.318686881,
5/29/1992,9.141919204,
7/7/1992,6.490404049,
7/28/1992,8.965151527,
8/30/1992,9.672222235,
9/30/1992,9.495454558,
10/26/1992,9.672222235,
11/24/1992,6.490404049,
12/22/1992,6.490404049,
1/28/1993,7.551010111,
2/25/1993,10.02575759,
3/31/1993,10.20252527,
4/26/1993,7.904545465,
5/27/1993,9.848989912,
6/25/1993,11.35151665,
7/30/1993,0.3035354,
8/27/1993,0.21515155,
9/24/1993,0.56868695,
10/29/1993,0.21515155,
11/26/1993,0.008333341,
12/30/1993,0.024242434,
1/27/1994,0.03838385,
2/25/1994,0.050757589,
3/30/1994,0.064899005,
4/28/1994,0,
4/29/1994,0.087878806,
5/31/1994,0.125000023,
6/29/1994,0,
7/29/1994,0.018939403,
8/30/1994,0,
9/30/1994,0,
10/28/1994,0,
11/30/1994,0.017171726,
12/29/1994,0,
1/26/1995,0,
2/24/1995,0,
3/31/1995,0,
5/30/1995,0,
7/31/1995,0,
8/29/1995,0.017171726,
9/29/1995,0,
10/31/1995,0,
11/30/1995,0,
12/29/1995,0,
1/30/1996,0,
2/29/1996,0,
3/29/1996,10.2025266,
4/30/1996,11.0863651,
5/31/1996,0.21515155,
6/28/1996,0,
7/26/1996,0,
8/29/1996,0,
10/31/1996,0,
11/22/1996,0,
12/27/1996,0,
1/30/1997,0,
2/28/1997,0,
3/28/1997,0,
4/29/1997,0.74545465,
5/30/1997,0.21515155,
6/30/1997,0.05606062,
8/1/1997,0,
9/25/1997,0,
11/26/1997,0,
11/30/1997,0,
12/19/1997,0,
1/30/1998,0,
2/27/1998,0,
3/31/1998,0,
4/24/1998,0,
5/29/1998,0,
6/26/1998,0,
7/31/1998,0,
8/31/1998,0,
9/30/1998,0,
10/30/1998,0,
11/27/1998,0,
12/29/1998,0,
1/29/1999,0,
2/27/1999,0,
3/26/1999,0,
4/30/1999,0,
5/28/1999,0,
6/24/1999,0,
7/30/1999,0,
9/2/1999,0,
9/30/1999,0,
10/28/1999,0,
11/30/1999,0,
12/30/1999,0,
1/28/2000,0,
3/30/2000,0,
4/28/2000,0,
10/31/2000,0,
