date,tds
10/12/1973,0.0459602
3/14/1974,0.0636372
4/9/1974,0.035354
4/19/1974,0.035354
4/23/1974,0.0441925
5/9/1974,0.0512633
10/10/1974,0.17677
3/19/1975,0.0282832
4/15/1975,0.0282832
5/5/1975,0.0459602
10/14/1975,0.0318186
1/16/1976,0.035354
2/19/1976,0.053031
3/5/1976,0.0424248
3/17/1976,0.0388894
4/2/1976,0.0424248
4/16/1976,0.0459602
5/7/1976,0.0494956
5/19/1976,0.0424248
6/24/1976,0.053031
7/30/1976,0.053031
8/27/1976,0.0300509
9/30/1976,0.0601018
10/14/1976,0.0565664
11/1/1976,0.070708
11/10/1976,0.0601018
12/14/1976,0.1290421
12/29/1976,0.0777788
1/11/1977,0.0954558
2/8/1977,0.1484868
3/3/1977,0.0813142
4/8/1977,0.0813142
4/25/1977,0.0813142
5/3/1977,0.053031
5/26/1977,0.1025266
6/30/1977,0.0671726
7/22/1977,0.0601018
9/2/1977,0.0601018
10/12/1977,0.0689403
11/4/1977,0.070708
1/12/1978,0.0777788
3/10/1978,0.106062
4/5/1978,0.0777788
5/5/1978,0.0760111
8/15/1978,0.0565664
10/12/1978,0.0919204
1/17/1979,0.1484868
3/29/1979,0.1803054
4/20/1979,0.1979824
5/21/1979,0.1909116
8/9/1979,0.2722258
10/5/1979,0.618695
1/23/1980,2.386395
2/19/1980,3.093475
3/14/1980,4.06571
8/11/1980,8.30819
10/23/1980,10.42943
2/3/1981,13.699675
3/21/1981,15.113835
4/24/1981,15.997685
8/26/1981,17.411845
10/8/1981,18.56085
1/12/1982,18.38408
2/22/1982,18.20731
4/9/1982,17.677
4/30/1982,17.85377
5/24/1982,16.96992
6/17/1982,19.4447
8/26/1982,19.4447
10/25/1982,5.65664
1/25/1983,18.91439
3/22/1983,22.27302
4/20/1983,19.97501
5/24/1983,21.38917
9/7/1983,22.27302
12/19/1983,22.44979
1/26/1984,21.2124
3/21/1984,21.38917
4/21/1984,22.44979
5/25/1984,24.57103
8/29/1984,21.56594
3/19/1985,19.62147
3/26/1985,19.97501
4/3/1985,20.32855
4/9/1985,19.79824
4/17/1985,19.97501
5/23/1985,21.56594
8/20/1985,19.26793
11/5/1985,18.56085
1/23/1986,18.56085
2/25/1986,18.91439
3/18/1986,19.09116
4/15/1986,19.09116
5/21/1986,18.56085
8/12/1986,18.73762
10/7/1986,16.61638
1/29/1987,18.91439
3/17/1987,18.38408
4/13/1987,18.56085
5/15/1987,18.73762
8/17/1987,18.91439
10/22/1987,19.09116
1/13/1988,21.03563
3/25/1988,21.2124
4/21/1988,21.91948
5/25/1988,19.09116
8/24/1988,20.50532
10/19/1988,20.32855
2/1/1989,22.44979
3/28/1989,23.68718
4/26/1989,23.51041
6/13/1989,23.33364
8/25/1989,21.38917
10/20/1989,21.38917
1/23/1990,21.03563
2/13/1990,22.62656
3/12/1990,22.09625
3/27/1990,22.27302
4/5/1990,29.52059
4/25/1990,21.56594
5/4/1990,21.56594
5/23/1990,19.79824
8/30/1990,23.15687
9/25/1990,21.91948
10/17/1990,22.27302
11/26/1990,21.91948
12/20/1990,22.80333
1/29/1991,22.44979
2/20/1991,23.33364
3/21/1991,22.62656
4/19/1991,22.44979
5/28/1991,22.44979
6/24/1991,22.44979
7/31/1991,22.27302
9/4/1991,22.9801
9/30/1991,21.56594
10/24/1991,22.44979
12/5/1991,21.74271
1/6/1992,21.56594
1/29/1992,22.09625
2/21/1992,22.09625
4/1/1992,22.44979
4/22/1992,22.44979
5/29/1992,22.9801
7/7/1992,22.27302
7/28/1992,22.44979
9/30/1992,22.27302
10/26/1992,22.80333
11/24/1992,21.74271
12/22/1992,21.91948
1/28/1993,21.91948
2/25/1993,22.09625
3/31/1993,22.27302
4/26/1993,22.62656
5/27/1993,22.80333
6/23/1993,22.44979
8/24/1993,22.9801
9/27/1993,22.44979
10/28/1993,20.85886
